Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Attendance,Goalkeeper,Top Team Scorers,Top Team Goals
2022,1,5,3.5,5.0,4.0,0.0,1.0,11.0,7.0,4.0,12.0,77256.0,['Marc-André ter Stegen'],"['Robert Lewandowski', 'Ousmane Dembélé']",2.0
2021,1,5,12.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0,43216.0,['Marc-André ter Stegen'],"['Jutglà', 'Ousmane Dembélé']",1.0
2020,1,5,1.0,6.0,5.0,0.0,1.0,16.0,6.0,10.0,15.0,43216.0,['Marc-André ter Stegen'],"['Lionel Messi', 'Antoine Griezmann']",3.0
2019,1,5,5.0,3.0,2.0,0.0,1.0,7.0,2.0,5.0,6.0,43216.0,['Marc-André ter Stegen'],['Antoine Griezmann'],3.0
2018,1,5,2.0,9.0,5.0,1.0,3.0,20.0,9.0,11.0,16.0,10710.0,['Jasper Cillessen'],"['Philippe Coutinho', 'Luis Suárez']",3.0
2017,1,5,1.0,9.0,7.0,1.0,1.0,24.0,2.0,22.0,22.0,14752.0,['Jasper Cillessen'],['Luis Suárez'],5.0
2016,1,5,1.0,9.0,6.0,2.0,1.0,24.0,9.0,15.0,20.0,62355.0,['Jasper Cillessen'],['Lionel Messi'],5.0
2015,1,5,1.0,9.0,7.0,2.0,0.0,27.0,5.0,22.0,23.0,15333.0,['Marc-André ter Stegen'],"['Luis Suárez', 'Lionel Messi']",5.0
2014,1,5,1.0,9.0,9.0,0.0,0.0,34.0,6.0,28.0,27.0,6775.0,['Marc-André ter Stegen'],['Neymar'],7.0
2023,7,5,75.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,3.0,20124.0,['Pepe Reina'],['Manu Trigueros'],3.0
2022,7,5,12.0,4.0,3.0,0.0,1.0,18.0,5.0,13.0,9.0,20124.0,['Pepe Reina'],['Samuel Chukwueze'],4.0
2021,7,5,24.0,3.0,2.0,0.0,1.0,16.0,3.0,13.0,6.0,6370.0,['Gerónimo Rulli'],['Paco Alcácer'],3.0
2020,7,5,5.0,5.0,4.0,0.0,1.0,12.0,2.0,10.0,12.0,6370.0,['Gerónimo Rulli'],"['Yeremi Pino', 'Fernando Niño']",3.0
2019,7,5,5.0,5.0,4.0,0.0,1.0,14.0,5.0,9.0,12.0,6370.0,['Andrés Fernández'],['Santi Cazorla'],3.0
2018,7,5,9.0,4.0,1.0,2.0,1.0,14.0,8.0,6.0,5.0,6370.0,['Andrés Fernández'],['Karl Toko Ekambi'],5.0
2017,7,5,9.0,4.0,2.0,0.0,2.0,5.0,3.0,2.0,6.0,6061.0,['Mariano Barbosa'],['Cédric Bakambu'],2.0
2016,7,5,9.0,4.0,1.0,2.0,1.0,6.0,5.0,1.0,5.0,13228.0,"['Mariano Barbosa', 'Sergio Asenjo']","['Samu Castillejo', 'Roberto Soriano']",1.0
2015,7,5,9.0,4.0,1.0,0.0,3.0,6.0,7.0,-1.0,3.0,7500.0,['Mariano Barbosa'],"['Roberto Soldado', 'Samu García']",1.0
2014,7,5,3.0,8.0,5.0,1.0,2.0,12.0,9.0,3.0,16.0,3500.0,['Sergio Asenjo'],['Gerard Moreno'],5.0
2020,4,4,3.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,['Álex Remiro'],['Mikel Oyarzabal'],1.0
2023,3,4,,0.0,0.0,0.0,0.0,,,,0.0,53916.0,,,
2022,3,4,,,,,,,,,,53916.0,['Thibaut Courtois'],['Karim Benzema'],2.0
2021,3,4,,2.0,2.0,0.0,0.0,5.0,2.0,3.0,6.0,59053.0,['Thibaut Courtois'],['Karim Benzema'],2.0
2020,3,4,3.5,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,59053.0,['Thibaut Courtois'],['Karim Benzema'],1.0
2019,3,4,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,59053.0,['Thibaut Courtois'],"['Luka Modrić', 'Toni Kroos']",1.0
2017,3,4,1.0,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0,75167.0,['Keylor Navas'],['Marco Asensio'],2.0
2023,5,0,13.0,12.0,2.0,6.0,4.0,18.0,17.0,1.0,12.0,37007.0,['Ørjan Nyland'],['Youssef En-Nesyri'],4.0
2022,5,0,12.0,38.0,13.0,10.0,15.0,47.0,54.0,-7.0,49.0,35566.0,['Yassine Bounou'],['Youssef En-Nesyri'],8.0
2021,5,0,4.0,38.0,18.0,16.0,4.0,53.0,30.0,23.0,70.0,29756.0,['Yassine Bounou'],['Rafa Mir'],10.0
2020,5,0,4.0,38.0,24.0,5.0,9.0,53.0,33.0,20.0,77.0,25016.0,['Yassine Bounou'],['Youssef En-Nesyri'],18.0
2019,5,0,4.0,38.0,19.0,13.0,6.0,54.0,34.0,20.0,70.0,25016.0,['Tomáš Vaclík'],['Lucas Ocampos'],14.0
2018,5,0,6.0,38.0,17.0,8.0,13.0,62.0,47.0,15.0,59.0,35993.0,['Tomáš Vaclík'],['Wissam Ben Yedder'],18.0
2017,5,0,7.0,38.0,17.0,7.0,14.0,49.0,58.0,-9.0,58.0,33006.0,['Sergio Rico'],['Wissam Ben Yedder'],9.0
2016,5,0,4.0,38.0,21.0,9.0,8.0,69.0,49.0,20.0,72.0,32783.0,['Sergio Rico'],['Wissam Ben Yedder'],11.0
2015,5,0,7.0,38.0,14.0,10.0,14.0,51.0,50.0,1.0,52.0,33134.0,['Sergio Rico'],['Kévin Gameiro'],16.0
2014,5,0,5.0,38.0,23.0,7.0,8.0,71.0,45.0,26.0,76.0,30874.0,['Sergio Rico'],['Carlos Bacca'],20.0
2013,5,0,5.0,38.0,18.0,9.0,11.0,69.0,52.0,17.0,63.0,30622.0,['Beto'],['Kévin Gameiro'],15.0
2012,5,0,9.0,38.0,14.0,8.0,16.0,58.0,54.0,4.0,50.0,27658.0,['Andrés Palop'],['Álvaro Negredo'],25.0
2011,5,0,9.0,38.0,13.0,11.0,14.0,48.0,47.0,1.0,50.0,35342.0,['Javi Varas'],['Álvaro Negredo'],14.0
2010,5,0,5.0,38.0,17.0,7.0,14.0,62.0,61.0,1.0,58.0,35789.0,['Javi Varas'],['Álvaro Negredo'],20.0
2009,5,0,4.0,38.0,19.0,6.0,13.0,65.0,49.0,16.0,63.0,38597.0,['Andrés Palop'],['Luís Fabiano'],15.0
2008,5,0,3.0,38.0,21.0,7.0,10.0,54.0,39.0,15.0,70.0,41910.0,['Andrés Palop'],['Frédéric Kanouté'],18.0
2007,5,0,5.0,38.0,20.0,4.0,14.0,75.0,49.0,26.0,64.0,39456.0,['Andrés Palop'],['Luís Fabiano'],24.0
2006,5,0,3.0,38.0,21.0,8.0,9.0,64.0,35.0,29.0,71.0,36363.0,['Andrés Palop'],['Frédéric Kanouté'],21.0
2005,5,0,5.0,38.0,20.0,8.0,10.0,54.0,39.0,15.0,68.0,35697.0,['Andrés Palop'],['Javier Saviola'],9.0
2004,5,0,6.0,38.0,17.0,9.0,12.0,44.0,41.0,3.0,60.0,37105.0,['Esteban'],['Júlio Baptista'],18.0
2003,5,0,6.0,38.0,15.0,10.0,13.0,56.0,45.0,11.0,55.0,36079.0,['Esteban'],['Júlio Baptista'],20.0
2002,5,0,10.0,38.0,13.0,11.0,14.0,38.0,39.0,-1.0,50.0,32209.0,['Antonio Notario'],['José Antonio Reyes'],9.0
2001,5,0,8.0,38.0,14.0,11.0,13.0,51.0,40.0,11.0,53.0,33158.0,['Antonio Notario'],['Moisés'],13.0
1999,5,0,20.0,38.0,5.0,13.0,20.0,42.0,67.0,-25.0,28.0,19394.0,"['Frode Olsen', 'Juan José Valencia']",['Juan Carlos'],12.0
1996,5,0,20.0,42.0,12.0,7.0,23.0,50.0,69.0,-19.0,43.0,19394.0,,['Salva Ballesta'],13.0
1995,5,0,12.0,42.0,11.0,15.0,16.0,43.0,55.0,-12.0,48.0,19394.0,,['Davor Šuker'],16.0
1994,5,0,5.0,38.0,16.0,11.0,11.0,55.0,41.0,14.0,43.0,19394.0,,['Davor Šuker'],17.0
1993,5,0,6.0,38.0,15.0,12.0,11.0,56.0,42.0,14.0,42.0,19394.0,,['Davor Šuker'],24.0
1992,5,0,7.0,38.0,17.0,9.0,12.0,46.0,44.0,2.0,43.0,19394.0,,['Davor Šuker'],12.0
1991,5,0,12.0,38.0,13.0,8.0,17.0,48.0,45.0,3.0,34.0,19394.0,,['Iván Zamorano'],12.0
1990,5,0,8.0,38.0,15.0,8.0,15.0,45.0,47.0,-2.0,38.0,19394.0,,['Toni Polster'],13.0
